data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,calgo,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,7,ctkga,0.0014758851129162214,0.0014758851129162214,0.002951770225832443,0.0,0.00346350813105797,0.002440032320606919,0,1164,10933,5745,1367,10933,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,8,ctkga,0.0015691017989408267,0.0015691017989408267,0.0031382035978816535,0.0,0.0036904996743048553,0.002585907521458453,0,1094,10141,5651,1317,10141,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,9,ctkga,0.0015191675491833157,0.0015191675491833157,0.0030383350983666313,0.0,0.0035498369263456905,0.0025268332703875618,0,1087,10492,5503,1329,10492,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,0,ctkga,0.0003175562264657525,0.0003175562264657525,0.000635112452931505,0.0,0.000697921608629133,0.0005723032972338774,0,1288,9687,2233,1288,9687,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,1,ctkga,0.0011720133023846162,0.0011720133023846162,0.0023440266047692324,0.0,0.0027292663803806126,0.0019587868291578584,0,1279,10299,4562,1287,10299,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,2,ctkga,0.0012302316073425634,0.0012302316073425634,0.002460463214685127,0.0,0.002850108828811242,0.002070817600559005,0,1202,9454,4725,1271,9454,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,3,ctkga,0.00158229282574882,0.00158229282574882,0.00316458565149764,0.0,0.003714597159396462,0.0026145741435988088,0,1139,9880,5475,1262,9880,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,4,ctkga,0.0016221538206291953,0.0016221538206291953,0.0032443076412583907,0.0,0.003838027815139409,0.002650587467377372,0,1129,10257,5562,1269,10257,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,6,ctkga,0.0014386800333685884,0.0014386800333685884,0.002877360066737177,0.0,0.0033956700868053363,0.002359050046669015,0,1106,9938,5339,1301,9938,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,7,ctkga,0.0014813167812348636,0.0014813167812348636,0.002962633562469727,0.0,0.003499103720359911,0.0024261634045795446,0,1164,10933,5705,1367,10933,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,8,ctkga,0.0015558671700460927,0.0015558671700460927,0.0031117343400921854,0.0,0.00359089731488543,0.0026325713652989415,0,1102,10141,5674,1317,10141,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,1.0,9,ctkga,0.001542055488445815,0.001542055488445815,0.00308411097689163,0.0,0.0035585061386805865,0.00260971581510266,0,1102,10492,6204,1329,10492,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,3,km,msa,0.0,0,ctkga,0.0,0.0,0.0,0.0,0.0,0.0,0,828,9687,0,1288,9687,3
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,3,km,msa,0.0,1,ctkga,0.0014247151816812196,0.0014247151816812196,0.002849430363362439,0.0,0.003452983068310572,0.002245877658414305,0,852,10299,2154,1287,10299,3
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,3,km,msa,0.0,2,ctkga,0.0014730183964556012,0.0014730183964556012,0.0029460367929112024,0.0,0.003537302324545866,0.0023547712612765363,0,742,9454,1970,1271,9454,3
