Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
6,6,3.89154863357544,176.49612832069397,2.455718755722046,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
7,7,4.29658579826355,173.2757434844971,2.5025403499603267,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
8,8,4.9004788398742685,210.15463638305664,2.7117152214050293,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
9,9,3.987406492233277,235.36230230331418,2.0987811088562007,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
10,10,4.373902082443236,251.5976004600525,2.811676025390625,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
11,11,4.700763702392578,252.5954864025116,2.8591809272766118,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
12,12,4.743740797042847,314.27995562553406,3.048836708068848,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
13,13,4.806179285049439,304.4007005691528,3.3651843070983887,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
14,14,5.35079836845398,301.75994348526,2.6916744709014893,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
15,15,5.28854513168335,323.22987866401667,2.58842396736145,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
16,16,4.805882215499878,393.59965467453003,2.593646049499512,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
17,17,5.639122247695923,349.99953961372375,3.3324997425079346,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
18,18,5.437388896942139,330.20666265487665,3.31418251991272,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
19,19,4.984447479248047,322.41336536407465,3.713776111602783,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
20,20,6.225155830383301,311.7179217338562,3.5406694412231445,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
21,21,5.3030924797058105,464.7562246322632,3.15171480178833,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
22,22,4.953695297241211,454.7969841957092,3.6796894073486333,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
23,23,5.2060420513153085,436.78283262252813,4.553563356399536,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
24,24,6.526651382446289,457.9028539657593,3.4649469852447514,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
25,25,5.654700756072997,435.18576884269714,3.0950710773468018,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
26,26,5.504540920257568,439.2315735816956,3.427241802215576,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
27,27,5.541718244552612,482.6724491119385,4.593660116195679,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
28,28,5.442187786102295,486.74079513549805,4.4334444999694815,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
29,29,6.272207260131836,488.3016495704651,4.215923309326172,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
30,30,5.498940467834473,499.39102911949163,3.61026930809021,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
31,31,7.0312416553497314,558.9850859642029,4.477692365646362,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
32,32,7.6398842334747314,530.1924793720245,4.541718482971191,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
33,33,7.2331931591033936,610.62575507164,4.2918481826782235,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
34,34,6.780161619186401,582.1945803165437,6.67900013923645,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
35,35,6.045037984848023,444.02400994300837,3.6721918582916264,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
36,36,6.246102571487428,472.5693724155426,6.90914249420166,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
37,37,6.487298250198363,513.7156009674071,3.826622724533081,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
38,38,6.73095703125,597.8253171443938,3.918269634246826,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
39,39,6.92071533203125,887.2872037887573,4.007949352264403,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
40,40,13.084746599197388,679.8886754512788,4.161304950714111,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
41,41,7.387134313583374,719.9189622402191,4.1929588317871085,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
42,42,7.404208183288574,672.7917461395264,4.376156568527222,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
43,43,7.698788166046143,682.7414348125458,4.438199520111084,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
44,44,7.9712045192718515,884.4023823738098,4.5523555278778085,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
